original_path,original_name,new_name,产品分类,产品系列,产品编码,核心规格,包装类型,日期,版本,渠道,状态,设计图号,客户,备注,file_hash,duplicate_group,thumbnail_path
"/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE 商超/吸塑彩贴/涂附-拉绒片-B15-225MM,9H-25PCS-20250819-V1.pdf","涂附-拉绒片-B15-225MM,9H-25PCS-20250819-V1.pdf","涂附-拉绒片-B15-225MM,9H-25PCS-20250819-V1.pdf",涂附,B15,B15,225_9H,吸塑彩贴,20250819,V1,商超,DONE,,,,e142ac253f9add88158e251bf44563f3485c6c73281c24eb235c33e46ad950d6,,
"/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE 商超/吸塑彩贴/涂附-拉绒片-B38C-125MM,0H-50PCS-20250819-V1.pdf","涂附-拉绒片-B38C-125MM,0H-50PCS-20250819-V1.pdf","涂附-拉绒片-B38C-125MM,0H-50PCS-20250819-V1.pdf",涂附,B38C,B38C,125_0H,吸塑彩贴,20250819,V1,商超,DONE,,,,a0f299cf291717be6cb75464db5baa1cf9a53c474ed15bca843cfda1fa4f293a,,
"/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE 商超/吸塑彩贴/涂附-拉绒片-B38C-125MM,8H-50PCS-20250819-V1.pdf","涂附-拉绒片-B38C-125MM,8H-50PCS-20250819-V1.pdf","涂附-拉绒片-B38C-125MM,8H-50PCS-20250819-V1.pdf",涂附,B38C,B38C,125_8H,吸塑彩贴,20250819,V1,商超,DONE,,,,f823cc5d15f4cab3584199592afbaa718daf2539f57ae19a893272e87a6b9457,,
"/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE 商超/吸塑彩贴/涂附-拉绒片-B38D-125MM,0H-50PCS-20250819-V1.pdf","涂附-拉绒片-B38D-125MM,0H-50PCS-20250819-V1.pdf","涂附-拉绒片-B38D-125MM,0H-50PCS-20250819-V1.pdf",涂附,B38D,B38D,125_0H,吸塑彩贴,20250819,V1,商超,DONE,,,,d199092e8ff239b3c210a159bd8948f4bd63490bc9fefd24444704e782f7040a,,
"/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE 商超/吸塑彩贴/涂附-拉绒片-B38D-125MM,8H-50PCS-20250819-V1.pdf","涂附-拉绒片-B38D-125MM,8H-50PCS-20250819-V1.pdf","涂附-拉绒片-B38D-125MM,8H-50PCS-20250819-V1.pdf",涂附,B38D,B38D,125_8H,吸塑彩贴,20250819,V1,商超,DONE,,,,76ea6f28ae3e959ead3be474944aa0f5f14d93ff4be13bd620fc16784b24090d,,
"/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE 商超/吸塑彩贴/涂附-拉绒片-B38E-125MM,0H-50PCS-20250819-V1.pdf","涂附-拉绒片-B38E-125MM,0H-50PCS-20250819-V1.pdf","涂附-拉绒片-B38E-125MM,0H-50PCS-20250819-V1.pdf",涂附,B38E,B38E,125_0H,吸塑彩贴,20250819,V1,商超,DONE,,,,c99e3dbb2ecea5992726b787dcfe6991d8874649220420836d071977834f9ff2,,
"/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE 商超/吸塑彩贴/涂附-拉绒片-B38E-125MM,8H-50PCS-20250819-V1.pdf","涂附-拉绒片-B38E-125MM,8H-50PCS-20250819-V1.pdf","涂附-拉绒片-B38E-125MM,8H-50PCS-20250819-V1.pdf",涂附,B38E,B38E,125_8H,吸塑彩贴,20250819,V1,商超,DONE,,,,754f3fa0aea28bd01e8bb6b1d7809f7daa9b4a7a0c7f97f85390ffeda5426ea0,,
"/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE 商超/吸塑彩贴/涂附-拉绒片-B65-125MM,8H-50PCS-20250819-V1.pdf","涂附-拉绒片-B65-125MM,8H-50PCS-20250819-V1.pdf","涂附-拉绒片-B65-125MM,8H-50PCS-20250819-V1.pdf",涂附,B65,B65,125_8H,吸塑彩贴,20250819,V1,商超,DONE,,,,03c3cb1b52d3dc476b009157354a9bd89f6a09019eb2e5db42c2d8322fe2e39a,,
/Users/zhanghan/Desktop/涂覆包装-设计稿/涂附-J100-J100-待补充-20260516-V1.pdf,涂附-J100-J100-待补充-20260516-V1.pdf,涂附-张页-J100-230X280MM-50PCS-20260516-V1.pdf,涂附,J100,J100,待补充,彩盒,20260516,V1,其他,进行中,,,,3404a2ffff8e07827605b26d53a5cfaf7eac2355e905ef38589a192573a3b4d4,,
/Users/zhanghan/Desktop/涂覆包装-设计稿/涂附-海绵块-135X80_135X80M-20260325-V1.pdf,涂附-海绵块-135X80_135X80M-20260325-V1.pdf,涂附-套装-_-135X80M-11PCS-20260325-V1.pdf,涂附,海绵垫,待补充,135X80_135X80M,彩盒,20260325,V1,其他,进行中,,,,3aa6f776954f15c4ef72ff1d82d6631a5e3bccdd73c3a910f5a141cf95678a0d,,
"/Users/zhanghan/Desktop/涂覆包装-设计稿/涂附-拉绒片-A15-125MM,0H-10PCS-20260509-V1.pdf","涂附-拉绒片-A15-125MM,0H-10PCS-20260509-V1.pdf","涂附-拉绒片-A15-125MM,0H-10PCS-20260509-V1.pdf",涂附,吊卡,待补充,待补充,吊卡盒,20260509,V1,其他,进行中,,,,22a64eeea5b8b8abcdbc08bd79201ace6a0b7fc5b2736f6d1e05035f8a52564c,,
/Users/zhanghan/Desktop/涂覆包装-设计稿/快换碟套装 DONE/涂附-快换碟-150X240_150X240M-10PCS-20260323-V1.pdf,涂附-快换碟-150X240_150X240M-10PCS-20260323-V1.pdf,涂附-快换碟-_-2“-10PCS-20260323-V1.pdf,涂附,快换碟,快换碟,150X240_150X240M,彩盒,20260323,V1,其他,DONE,,,,7a1c2ba3e0a040e77c8ecce20c8fdc0864cd2d61a675cf7130214c3a1ccf504d,,
